event_name,trigger,category,stage,properties,why_track,owner,priority
call_initiated,Merchant dials 1800-XXX-XXXX OR outbound call placed,Session,0,"merchant_id:string, phone_number_hash:string, timestamp:iso8601, call_type:enum[inbound|outbound], outbound_trigger_id:string|null, city:string",Volume tracking + inbound vs outbound split,Platform Engineering,P0
identity_verified,KYC lookup returns merchant profile successfully,Identity,1,"merchant_id:string, merchant_name:string, city:string, credit_limit:integer, credit_available:integer, wallet_balance:integer, account_status:enum[active|suspended|guest], kyc_lookup_latency_ms:integer, has_prior_bookings:boolean",Auth success rate + KYC health monitoring,Platform Engineering,P0
identity_failed,KYC lookup returns null or suspended status,Identity,1,"phone_number_hash:string, failure_reason:enum[not_found|suspended|api_error], api_latency_ms:integer",Debug identity failures + CRM recovery,Platform Engineering,P0
language_detected,First merchant utterance processed by STT,Voice,1,"detected_language:enum[hi|en|mixed|other], confidence_score:float, utterance_length_chars:integer",Language distribution for training data prioritisation,ML Engineering,P1
intent_captured,NLU extracts destination + at least one date entity with confidence >= 0.80,NLU,2,"destination_iata:string, origin_iata:string|null, travel_date:date, time_preference:enum[morning|afternoon|evening|any|null], nlu_confidence_score:float, retry_count:integer, slot_fill_turns:integer, utterance_raw_hash:string",Core NLU performance metric,ML Engineering,P0
intent_capture_failed,NLU fails to extract required slots after max retries,NLU,2,"failure_reason:enum[low_confidence|missing_destination|missing_date|language_unsupported], retry_count:integer, final_confidence:float, fallback_triggered:enum[wa_form|sms|human|none], raw_utterance_hash:string",NLU failure analysis → training data improvement loop,ML Engineering,P0
flight_search_initiated,Travel API call fires after slots confirmed,Search,2,"origin_iata:string, destination_iata:string, travel_date:date, time_preference:string|null, search_id:string",Search volume + route coverage monitoring,Platform Engineering,P0
flight_search_completed,Travel API returns results (success or empty),Search,2,"search_id:string, results_count:integer, api_latency_ms:integer, cache_used:boolean, min_fare:integer|null, max_fare:integer|null, direct_flights_count:integer, connecting_flights_count:integer",Inventory health + API performance,Platform Engineering,P0
flight_search_failed,Travel API returns error or times out,Search,2,"search_id:string, error_code:string, api_latency_ms:integer, fallback_action:enum[cached|no_flights|retry|error]",API reliability + inventory gap tracking,Platform Engineering,P0
options_presented,Agent reads 2 flight options to merchant,Search,2,"flight_1_id:string, flight_1_airline:string, flight_1_dep_time:string, flight_1_price:integer, flight_2_id:string|null, flight_2_airline:string|null, flight_2_dep_time:string|null, flight_2_price:integer|null, presentation_method:enum[voice|wa_card|both], time_to_present_from_search_ms:integer",Option quality + presentation speed,Product,P0
flight_selected,Merchant chooses a specific flight option,Confirm,3,"selected_flight_id:string, selected_flight_airline:string, selected_flight_price:integer, selection_method:enum[voice|wa_tap], time_to_decide_seconds:integer, selected_option_rank:enum[1|2], price_changed_since_search:boolean, price_delta_inr:integer|null",Decision speed + option ranking quality validation,Product,P0
payment_method_presented,Agent offers credit/wallet payment choice,Confirm,3,"credit_available:integer, wallet_balance:integer, flight_price:integer, credit_sufficient:boolean, pre_selected_method:enum[credit|wallet|none]",Credit nudge timing + balance visibility,Product,P0
payment_method_selected,Merchant chooses credit or wallet,Confirm,3,"selected_method:enum[credit|wallet], selection_method:enum[voice|wa_tap], credit_available_at_selection:integer, wallet_balance_at_selection:integer, flight_price:integer, was_pre_selected_overridden:boolean",NORTH STAR enabler — credit attachment rate,Product + Credit,P0
booking_confirmed_by_merchant,Merchant gives verbal or tap confirmation,Confirm,3,"confirmation_method:enum[voice|wa_tap], flight_id:string, flight_price:integer, payment_method:enum[credit|wallet], time_from_selection_to_confirm_seconds:integer",Confirmation friction measurement,Product,P0
booking_api_initiated,Booking API call fires with idempotency key,Confirm,3,"booking_ref:string, idempotency_key:string, flight_id:string, payment_method:enum[credit|wallet], amount:integer, merchant_id:string",Payment pipeline tracking + idempotency monitoring,Finance Engineering,P0
booking_completed,Booking confirmed by airline + payment successful,Confirm,3,"booking_id:string, pnr:string, airline:string, origin_iata:string, destination_iata:string, travel_date:date, departure_time:string, fare_inr:integer, payment_method:enum[credit|wallet], credit_charged:integer|null, wallet_charged:integer|null, remaining_credit:integer|null, total_call_duration_seconds:integer, stage_durations_json:string",CORE CONVERSION — primary funnel metric,Product,P0
booking_failed,Booking API returns error after confirmation,Confirm,3,"booking_ref:string, error_code:string, error_reason:enum[seat_unavailable|payment_failed|api_error|price_changed|timeout], recovery_action:enum[offer_alt|draft_save|retry|human_handoff]",Booking reliability + failure mode frequency,Platform Engineering,P0
payment_declined,Credit or wallet payment rejected,Confirm,3,"payment_method:enum[credit|wallet], decline_reason:enum[insufficient_balance|risk_hold|overdue|gateway_error|unknown], fallback_offered:boolean, fallback_method:enum[wallet|credit|draft_save|none]",Credit health monitoring + fallback effectiveness,Credit Team,P0
gstin_validated,GSTN API returns ACTIVE status for merchant GSTIN,Invoice,4,"merchant_id:string, gstin_last4:string, gstn_api_latency_ms:integer, validation_status:enum[active|suspended|cancelled|not_found]",GST pipeline reliability,Finance Engineering,P0
invoice_generated,GST invoice PDF successfully created,Invoice,4,"invoice_id:string, booking_id:string, merchant_id:string, gstin_last4:string, business_name:string, base_fare:integer, cgst:integer, sgst:integer, total:integer, hsn_code:string, generation_time_ms:integer",Invoice quality + generation speed (SLA: < 5 sec),Finance Engineering,P0
invoice_delivered,Invoice PDF successfully delivered to merchant WhatsApp,Invoice,4,"invoice_id:string, wa_message_id:string, delivery_status:enum[delivered|failed|pending], delivery_time_ms:integer, fallback_used:boolean, fallback_channel:enum[sms|email|none]",Delivery reliability (SLA: < 10 sec from PNR),Platform Engineering,P0
eticket_delivered,E-ticket PDF delivered to merchant WhatsApp,Invoice,4,"booking_id:string, pnr:string, wa_message_id:string, delivery_status:enum[delivered|failed|pending], delivery_time_ms:integer, airline_ticket_generation_latency_ms:integer",E-ticket delivery reliability,Platform Engineering,P1
booking_summary_sent,Post-call WA summary card sent to merchant,Summary,5,"booking_id:string, wa_message_id:string, send_delay_seconds:integer, action_buttons_included:string_list",Post-call experience quality,Product,P1
call_ended,Call session terminates (any reason),Session,5,"call_id:string, merchant_id:string, total_duration_seconds:integer, end_reason:enum[completed|drop|hangup|transfer], final_stage:enum[greeting|search|confirm|invoice|summary], booking_completed:boolean, booking_id:string|null",Full call analytics + completion rate,Platform Engineering,P0
nps_submitted,Merchant completes post-booking NPS survey,Post-Call,6,"booking_id:string, merchant_id:string, nps_score:integer, nps_category:enum[detractor|passive|promoter], feedback_text_hash:string|null, survey_channel:enum[wa|sms], time_to_submit_minutes:integer",NPS tracking — key go/no-go metric,Product,P0
voice_fallback_triggered,System switches from voice to WhatsApp or SMS input,Fallback,Any,"fallback_reason:enum[stt_low_confidence|nlu_failure|noise_overload|language_unsupported], source_stage:string, fallback_channel:enum[wa_form|wa_card|sms], merchant_id:string, retry_count_before_fallback:integer, stt_confidence_at_trigger:float|null, snr_db:float|null",Fallback rate monitoring — AI performance signal,ML Engineering,P0
human_handoff_initiated,Call transferred to human agent queue,Handoff,Any,"merchant_id:string, call_id:string, handoff_reason:enum[explicit_request|nlu_failure|complex_transaction|emotional_distress|system_failure|account_issue], source_stage:string, call_duration_before_handoff_seconds:integer, nlu_failure_count:integer, booking_draft_id:string|null",Handoff rate + reason analysis → training data,Customer Ops,P0
human_handoff_resolved,Human agent resolves the escalated call,Handoff,Post-Call,"handoff_id:string, merchant_id:string, agent_id:string, resolution_type:enum[booking_completed|cancelled|refunded|info_given|unresolved], resolution_time_seconds:integer, merchant_nps_post_handoff:integer|null",Human resolution quality + SLA compliance,Customer Ops,P1
booking_cancelled,Merchant cancels booking post-confirmation,Post-Booking,Post-Call,"booking_id:string, pnr:string, cancellation_channel:enum[voice|wa|human_agent|app], time_since_booking_hours:float, cancellation_reason:enum[merchant_changed_mind|flight_cancelled_by_airline|scheduling_conflict|other], refund_amount_inr:integer, credit_reversal:boolean",Cancellation rate + refund volume,Finance Engineering,P1
proactive_call_initiated,Outbound call placed to merchant based on trigger,Outbound,Pre-Stage1,"merchant_id:string, trigger_type:enum[seasonal_pattern|credit_drop], trigger_confidence_score:float, scheduled_time:iso8601, historical_route:string|null",Outbound program performance,CRM / Outbound,P1
proactive_call_outcome,Result of outbound call attempt,Outbound,Post-Call,"merchant_id:string, trigger_type:string, outcome:enum[answered_booked|answered_declined|no_answer|voicemail|dnd_opt_out], booking_id:string|null, call_duration_seconds:integer",Proactive conversion rate by trigger type,CRM / Outbound,P1
